1958 	Mai 	72 090
1958 	Avril 	67 376
1958 	Mars 	71 624
1958 	Février 	64 465
1958 	Janvier 	70 099
1957 	Décembre 	66 527
1957 	Novembre 	63 662
1957 	Octobre 	67 028
1957 	Septembre 	67 702
1957 	Août 	68 944
1957 	Juillet 	67 841
1957 	Juin 	66 762
1957 	Mai 	70 838
1957 	Avril 	68 475
1957 	Mars 	71 804
1957 	Février 	65 515
1957 	Janvier 	71 369
1956 	Décembre 	65 359
1956 	Novembre 	61 108
1956 	Octobre 	63 857
1956 	Septembre 	65 080
1956 	Août 	67 844
1956 	Juillet 	70 485
1956 	Juin 	66 428
1956 	Mai 	72 508
1956 	Avril 	68 117
1956 	Mars 	71 586
1956 	Février 	66 290
1956 	Janvier 	68 254
1955 	Décembre 	64 776
1955 	Novembre 	60 667
1955 	Octobre 	64 480
1955 	Septembre 	63 842
1955 	Août 	67 434
1955 	Juillet 	70 238
1955 	Juin 	67 817
1955 	Mai 	72 035
1955 	Avril 	70 245
1955 	Mars 	71 800
1955 	Février 	63 330
1955 	Janvier 	69 253
1954 	Décembre 	64 038
1954 	Novembre 	61 497
1954 	Octobre 	65 149
1954 	Septembre 	65 781
1954 	Août 	69 177
1954 	Juillet 	70 499
1954 	Juin 	66 940
1954 	Mai 	72 752
1954 	Avril 	69 474
1954 	Mars 	70 406
1954 	Février 	64 826
1954 	Janvier 	70 215
1953 	Décembre 	64 695
1953 	Novembre 	59 440
1953 	Octobre 	62 643
1953 	Septembre 	65 045
1953 	Août 	68 549
1953 	Juillet 	71 225
1953 	Juin 	67 705
1953 	Mai 	71 645
1953 	Avril 	67 876
1953 	Mars 	71 538
1953 	Février 	64 564
1953 	Janvier 	69 771
1952 	Décembre 	64 376
1952 	Novembre 	62 940
1952 	Octobre 	65 510
1952 	Septembre 	66 843
1952 	Août 	68 979
1952 	Juillet 	69 876
1952 	Juin 	68 354
1952 	Mai 	72 814
1952 	Avril 	71 715
1952 	Mars 	73 414
1952 	Février 	67 033
1952 	Janvier 	70 350
1951 	Décembre 	65 492
1951 	Novembre 	60 226
1951 	Octobre 	65 112
1951 	Septembre 	66 254
1951 	Août 	68 929
1951 	Juillet 	73 716
1951 	Juin 	70 322
1951 	Mai 	74 698
1951 	Avril 	71 787
1951 	Mars 	72 954
1951 	Février 	66 113
1951 	Janvier 	71 119
1950 	Décembre 	67 156
1950 	Novembre 	65 008
1950 	Octobre 	69 357
1950 	Septembre 	68 156
1950 	Août 	70 728
1950 	Juillet 	73 248
1950 	Juin 	72 030
1950 	Mai 	76 436
1950 	Avril 	75 376
1950 	Mars 	78 650
1950 	Février 	69 607
1950 	Janvier 	76 558
1949 	Décembre 	71 065
1949 	Novembre 	66 084
1949 	Octobre 	66 170
1949 	Septembre 	68 997
1949 	Août 	71 895
1949 	Juillet 	75 128
1949 	Juin 	73 823
1949 	Mai 	77 381
1949 	Avril 	76 630
1949 	Mars 	78 043
